"term"|"label"
"Jewelry"|"Apparel"
"Trend Forecasting"|"Apparel"
"AutoCAD"|"Architecture"
"Computer-Aided Design (CAD)"|"Architecture"
"SketchUp"|"Architecture"
"Revit"|"Architecture"
"Architecture"|"Architecture"
"Architectural Design"|"Architecture"
"Design Research"|"Architecture"
"Sustainable Design"|"Architecture"
"AutoCAD Architecture"|"Architecture"
"Building Information Modeling (BIM)"|"Architecture"
"Military Operations"|"Army "
"U.S. Department of Defense"|"Army "
"Defense"|"Army "
"Military Training"|"Army "
"Army"|"Army "
"Force Protection"|"Army "
"Weapons Handling"|"Army "
"Veterans"|"Army "
"Counterterrorism"|"Army "
"Tactics"|"Army "
"Contemporary Art"|"Art History"
"Art History"|"Art History"
"Art Education"|"Art History"
"Museums"|"Art History"
"Curating"|"Art History"
"Cultural Heritage"|"Art History"
"Gallery Administration"|"Art History"
"Historical Research"|"Art History"
"Museum Collections"|"Art History"
"Museum Education"|"Art History"
"Machine Learning"|"Artificial Intelligence (AI)"
"Artificial Intelligence (AI)"|"Artificial Intelligence (AI)"
"Data Structures"|"Artificial Intelligence (AI)"
"Deep Learning"|"Artificial Intelligence (AI)"
"Image Processing"|"Artificial Intelligence (AI)"
"Computer Vision"|"Artificial Intelligence (AI)"
"Natural Language Processing (NLP)"|"Artificial Intelligence (AI)"
"TensorFlow"|"Artificial Intelligence (AI)"
"Pandas (Software)"|"Artificial Intelligence (AI)"
"OpenCV"|"Artificial Intelligence (AI)"
"Crafts"|"Arts & Crafts"
"Jewelry Design"|"Arts & Crafts"
"Printmaking"|"Arts & Crafts"
"Arts & Crafts"|"Arts & Crafts"
"Embroidery"|"Arts & Crafts"
"Floral Design"|"Arts & Crafts"
"Watches"|"Arts & Crafts"
"Yarn"|"Arts & Crafts"
"Fashion Jewelry"|"Arts & Crafts"
"Crochet"|"Arts & Crafts"
"Auditing"|"Auditing"
"Internal Controls"|"Auditing"
"Internal Audit"|"Auditing"
"International Financial Reporting Standards (IFRS)"|"Auditing"
"Financial Audits"|"Auditing"
"External Audit"|"Auditing"
"Generally Accepted Accounting Principles (GAAP)"|"Auditing"
"Sarbanes- Oxley Act"|"Auditing"
"Assurance"|"Auditing"
"Consolidation"|"Auditing"
"Automotive"|"Automotive"
"Automotive Engineering"|"Automotive"
"Automotive Aftermarket"|"Automotive"
"Automotive Sales"|"Automotive"
"Aftersales"|"Automotive"
"Dealer Management"|"Automotive"
"Powertrain"|"Automotive"
"Motors"|"Automotive"
"Automotive Electronics"|"Automotive"
"Automotive Parts"|"Automotive"
"Medical Devices"|"Biomedical Engineering"
"Biomedical Engineering"|"Biomedical Engineering"
"Electronic Data Capture (EDC)"|"Biomedical Engineering"
"Medical Technology"|"Biomedical Engineering"
"Biomaterials"|"Biomedical Engineering"
"Biomedical Sciences"|"Biomedical Engineering"
"Medical Equipment"|"Biomedical Engineering"
"ISO 14971"|"Biomedical Engineering"
"Medical Device R&D"|"Biomedical Engineering"
"Biomedical Devices"|"Biomedical Engineering"
"Accounts Receivable (AR)"|"Bookkeeping"
"QuickBooks"|"Bookkeeping"
"Bookkeeping"|"Bookkeeping"
"General Ledger"|"Bookkeeping"
"Bank Reconciliation"|"Bookkeeping"
"Accounts Payable & Receivable"|"Bookkeeping"
"Goods and Services Tax (GST)"|"Bookkeeping"
"MYOB"|"Bookkeeping"
"Xero"|"Bookkeeping"
